Hash Chaining
Insert times:
2.6955e-07, 1.9902e-07, 1.3583e-07, 1.5667e-07, 1.2988e-07, 1.2819e-07, 1.3978e-07, 1.184e-07, 1.3829e-07, 1.178e-07, 1.1479e-07, 1.342e-07, 1.1128e-07, 1.1557e-07, 1.2056e-07, 1.0641e-07, 1.3048e-07, 1.0209e-07, 9.873e-08, 1.2627e-07, 9.735e-08, 1.1811e-07, 9.864e-08, 1.0618e-07, 1.1374e-07, 1.0299e-07, 1.1001e-07, 9.333e-08, 9.321e-08, 1.2034e-07, 9.087e-08, 1.0808e-07, 8.908e-08, 9.354e-08, 1.0592e-07, 8.941e-08, 8.457e-08, 1.0958e-07, 8.906e-08, 1.041e-07, 8.803e-08, 8.694e-08, 1.022e-07, 8.517e-08, 1.006e-07, 8.817e-08, 8.227e-08, 1.104e-07, 8.259e-08, 1.0189e-07, 8.147e-08, 8.894e-08, 9.957e-08, 8.909e-08, 1.0208e-07, 8.868e-08, 8.349e-08, 1.0438e-07, 7.99e-08, 8.091e-08, 9.737e-08, 8.412e-08, 9.542e-08, 7.833e-08, 8.256e-08, 1.0134e-07, 8.069e-08, 1.001e-07, 7.704e-08, 7.956e-08, 9.921e-08, 7.81e-08, 9.811e-08, 7.992e-08, 7.965e-08, 9.652e-08, 7.969e-08, 7.967e-08, 9.85e-08, 7.71e-08, 9.831e-08, 7.84e-08, 8.042e-08, 9.501e-08, 8.014e-08, 1.0021e-07, 7.943e-08, 7.914e-08, 9.214e-08, 7.717e-08, 9.569e-08, 7.978e-08, 7.89e-08, 9.69e-08, 7.573e-08, 9.762e-08, 7.819e-08, 7.71e-08, 9.919e-08, 7.806e-08, 7.903e-08, 9.74e-08, 7.924e-08, 9.554e-08, 7.803e-08, 7.662e-08, 9.488e-08, 7.964e-08, 9.593e-08, 7.892e-08, 7.936e-08, 9.719e-08, 7.888e-08, 9.267e-08, 7.88e-08, 7.927e-08, 9.613e-08, 7.983e-08, 9.849e-08, 7.744e-08, 7.921e-08, 9.339e-08, 7.967e-08, 7.707e-08, 9.759e-08, 7.839e-08, 9.677e-08, 7.869e-08, 7.753e-08, 9.718e-08, 7.73e-08, 9.62e-08, 7.876e-08, 7.792e-08, 9.298e-08, 7.79e-08, 9.653e-08, 7.96e-08, 7.693e-08, 9.563e-08, 7.713e-08, 7.955e-08, 9.718e-08, 7.868e-08, 9.456e-08, 7.837e-08, 7.815e-08, 9.287e-08, 7.851e-08, 9.755e-08, 7.951e-08, 7.804e-08, 9.666e-08, 7.97e-08, 9.752e-08, 7.748e-08, 7.956e-08, 9.681e-08, 8.05e-08, 9.761e-08, 7.782e-08, 7.835e-08, 9.599e-08, 9.781e-08, 7.895e-08, 9.795e-08, 7.866e-08, 9.461e-08, 7.827e-08, 7.955e-08, 9.607e-08, 7.719e-08, 9.704e-08, 7.916e-08, 7.843e-08, 9.718e-08, 7.852e-08, 9.814e-08, 7.851e-08, 7.831e-08, 9.533e-08, 7.829e-08, 9.562e-08, 7.977e-08, 7.832e-08, 9.818e-08, 7.88e-08, 7.872e-08, 9.504e-08, 7.922e-08, 9.652e-08, 7.872e-08, 7.95e-08, 9.745e-08, 7.929e-08, 9.749e-08, 8.053e-08, 7.963e-08, 9.402e-08, 7.859e-08, 9.535e-08, 8.027e-08, 7.907e-08, 9.893e-08, 7.936e-08, 7.98e-08, 9.591e-08, 7.907e-08, 9.827e-08, 7.98e-08, 7.945e-08, 9.721e-08, 7.893e-08, 9.511e-08, 8.025e-08, 7.853e-08, 9.68e-08, 7.96e-08, 9.901e-08, 8.119e-08, 8.218e-08, 9.728e-08, 7.919e-08, 9.705e-08, 7.944e-08, 7.975e-08, 9.758e-08, 7.911e-08, 7.997e-08, 9.758e-08, 8.007e-08, 9.871e-08, 7.999e-08, 8.036e-08, 9.667e-08, 7.886e-08, 9.562e-08, 7.959e-08, 8.037e-08, 9.688e-08, 8.003e-08, 9.962e-08, 8.076e-08, 7.948e-08, 9.906e-08, 7.989e-08, 9.804e-08, 8.066e-08, 7.994e-08, 9.885e-08, 8.074e-08, 8.063e-08, 9.734e-08, 7.949e-08, 9.408e-08, 8.08e-08, 7.997e-08, 9.634e-08, 7.996e-08, 9.681e-08, 8.039e-08, 8.32e-08, 9.98e-08, 8.094e-08, 9.636e-08, 8.027e-08, 7.919e-08, 1.0026e-07, 8.056e-08, 8.06e-08, 9.93e-08, 8.053e-08, 9.8e-08, 8.02e-08, 8.096e-08, 9.836e-08, 8.034e-08, 1.0045e-07, 8.012e-08, 8.17e-08, 9.993e-08, 8.06e-08, 9.998e-08, 7.91e-08, 8.016e-08, 9.767e-08, 8.09e-08, 9.825e-08, 8.121e-08, 7.93e-08, 9.853e-08, 8.081e-08, 7.982e-08, 1.0067e-07, 7.997e-08, 9.901e-08, 8.022e-08, 8.19e-08, 9.553e-08, 8.08e-08, 1.0073e-07, 8.001e-08, 8.109e-08, 9.981e-08, 7.987e-08, 9.759e-08, 8.086e-08, 8.091e-08, 9.92e-08, 8.056e-08, 1.5202e-07, 8.213e-08, 8.141e-08, 1.0161e-07, 8.027e-08, 8.011e-08, 9.647e-08, 8.114e-08, 9.751e-08, 8.101e-08, 8.173e-08, 9.675e-08, 8.075e-08, 9.836e-08, 8.108e-08, 8.065e-08, 9.599e-08, 9.745e-08, 9.91e-08, 8.227e-08, 7.996e-08, 1.0093e-07, 7.993e-08, 8.019e-08, 9.805e-08, 8.029e-08, 9.93e-08, 8.017e-08, 8.034e-08, 9.792e-08, 8.123e-08, 9.861e-08, 8.061e-08, 8.036e-08, 9.82e-08, 8.005e-08, 1.001e-07, 8.152e-08, 8.2e-08, 9.939e-08, 7.947e-08, 9.81e-08, 8.067e-08, 8.035e-08, 1.0031e-07, 7.943e-08, 8.037e-08, 9.873e-08, 7.992e-08, 9.845e-08, 8.081e-08, 7.961e-08, 9.684e-08, 7.951e-08, 9.939e-08, 7.961e-08, 8.062e-08, 9.735e-08, 7.987e-08, 9.783e-08, 8.083e-08, 8.171e-08, 9.688e-08, 7.962e-08, 9.574e-08, 8.046e-08, 7.848e-08, 9.727e-08, 7.964e-08, 7.95e-08, 9.986e-08, 7.994e-08, 9.835e-08, 7.952e-08, 8.022e-08, 9.489e-08, 7.949e-08, 9.662e-08, 8.03e-08, 7.999e-08, 9.853e-08, 8.063e-08, 1.009e-07, 7.889e-08, 7.94e-08, 9.711e-08, 7.97e-08, 7.85e-08, 9.361e-08, 
Search times: 
7.4e-10, 5.8e-10, 6.2e-10, 6.3e-10, 5.8e-10, 5.7e-10, 6.4e-10, 5.3e-10, 6.3e-10, 5.5e-10, 5.9e-10, 5.6e-10, 5.6e-10, 6e-10, 5.7e-10, 6.4e-10, 6e-10, 5.5e-10, 5.5e-10, 6.2e-10, 6e-10, 6.2e-10, 5.7e-10, 5.4e-10, 5.5e-10, 5.4e-10, 6.4e-10, 5.5e-10, 5.4e-10, 6e-10, 6.2e-10, 6.6e-10, 5.5e-10, 6.2e-10, 5.7e-10, 6.2e-10, 6e-10, 6.3e-10, 5.4e-10, 5.8e-10, 6e-10, 5.9e-10, 6.2e-10, 5.5e-10, 6.4e-10, 5.6e-10, 5.4e-10, 6e-10, 6e-10, 6.5e-10, 5.7e-10, 6.4e-10, 6.4e-10, 6e-10, 5.9e-10, 5.5e-10, 6.1e-10, 5.6e-10, 5.4e-10, 5.3e-10, 5.4e-10, 5.8e-10, 6.4e-10, 5.5e-10, 5.7e-10, 6.4e-10, 7.3e-10, 5.9e-10, 6e-10, 5.9e-10, 5.6e-10, 5.4e-10, 6.4e-10, 5.9e-10, 5.7e-10, 6.3e-10, 6.3e-10, 6.1e-10, 6e-10, 5.6e-10, 5.6e-10, 5.4e-10, 5.6e-10, 6.2e-10, 5.4e-10, 5.8e-10, 6.2e-10, 5.7e-10, 5.6e-10, 6e-10, 6.1e-10, 5.5e-10, 5.3e-10, 5.8e-10, 5.6e-10, 5.9e-10, 6e-10, 5.4e-10, 5.9e-10, 5.5e-10, 5.5e-10, 6.2e-10, 6.4e-10, 6.1e-10, 5.6e-10, 6.2e-10, 6e-10, 6e-10, 5.7e-10, 5.5e-10, 5.6e-10, 5.8e-10, 7e-10, 5.8e-10, 5.4e-10, 5.9e-10, 5.4e-10, 6.2e-10, 6.4e-10, 5.3e-10, 5.4e-10, 5.3e-10, 5.5e-10, 6.3e-10, 6e-10, 6.3e-10, 5.7e-10, 6.2e-10, 5.4e-10, 5.3e-10, 5.4e-10, 5.7e-10, 6e-10, 5.5e-10, 5.7e-10, 5.6e-10, 6.6e-10, 5.5e-10, 5.9e-10, 6.3e-10, 5.9e-10, 5.3e-10, 5.5e-10, 6.1e-10, 5.5e-10, 6.2e-10, 5.9e-10, 5.4e-10, 5.7e-10, 5.6e-10, 6e-10, 5.4e-10, 5.5e-10, 5.8e-10, 6.3e-10, 5.5e-10, 5.7e-10, 6e-10, 5.3e-10, 6e-10, 6e-10, 5.5e-10, 5.6e-10, 6e-10, 6e-10, 6.2e-10, 5.6e-10, 6.3e-10, 5.5e-10, 6.2e-10, 5.3e-10, 6e-10, 6e-10, 5.7e-10, 6.2e-10, 5.4e-10, 5.9e-10, 6.5e-10, 6.2e-10, 5.8e-10, 6e-10, 5.3e-10, 6.4e-10, 5.3e-10, 5.3e-10, 6e-10, 6e-10, 5.7e-10, 5.8e-10, 6e-10, 6.5e-10, 5.7e-10, 6e-10, 5.6e-10, 5.5e-10, 6e-10, 5.3e-10, 6e-10, 5.6e-10, 5.5e-10, 6.4e-10, 5.3e-10, 5.9e-10, 6.2e-10, 5.5e-10, 6.4e-10, 5.6e-10, 6.2e-10, 6.4e-10, 6.2e-10, 5.5e-10, 5.7e-10, 6.1e-10, 5.5e-10, 5.8e-10, 6.1e-10, 6e-10, 5.5e-10, 6.1e-10, 6.3e-10, 6.2e-10, 5.9e-10, 6.2e-10, 5.6e-10, 6e-10, 5.9e-10, 6.5e-10, 5.9e-10, 5.9e-10, 6.4e-10, 5.6e-10, 6.2e-10, 5.5e-10, 6.3e-10, 6e-10, 5.4e-10, 6.7e-10, 5.5e-10, 6.2e-10, 5.3e-10, 6.2e-10, 6.6e-10, 5.4e-10, 6.2e-10, 6.3e-10, 6e-10, 6.6e-10, 5.7e-10, 5.7e-10, 5.7e-10, 6e-10, 5.6e-10, 5.3e-10, 5.7e-10, 6.5e-10, 5.7e-10, 5.3e-10, 6.2e-10, 5.4e-10, 5.8e-10, 5.7e-10, 6.1e-10, 6.4e-10, 6.2e-10, 6.3e-10, 5.6e-10, 6e-10, 6e-10, 6e-10, 6e-10, 5.5e-10, 5.5e-10, 5.5e-10, 5.5e-10, 5.7e-10, 5.6e-10, 6.5e-10, 6.4e-10, 6e-10, 6.1e-10, 5.8e-10, 6e-10, 6.4e-10, 5.9e-10, 5.8e-10, 6.2e-10, 6.2e-10, 6e-10, 5.6e-10, 5.4e-10, 5.5e-10, 6e-10, 6.4e-10, 6.4e-10, 5.5e-10, 6.1e-10, 6e-10, 5.7e-10, 6.2e-10, 5.3e-10, 6.1e-10, 6.2e-10, 5.9e-10, 5.5e-10, 6.3e-10, 6.2e-10, 6.4e-10, 6.3e-10, 6.2e-10, 6.1e-10, 5.9e-10, 5.4e-10, 5.7e-10, 5.8e-10, 6.1e-10, 6.1e-10, 5.5e-10, 6.8e-10, 5.5e-10, 5.9e-10, 6.1e-10, 6.3e-10, 5.6e-10, 5.7e-10, 5.5e-10, 5.5e-10, 5.6e-10, 5.6e-10, 6.2e-10, 5.5e-10, 6e-10, 5.7e-10, 6e-10, 6e-10, 5.7e-10, 5.4e-10, 5.4e-10, 6e-10, 5.3e-10, 6.3e-10, 6e-10, 5.6e-10, 6.1e-10, 5.5e-10, 7e-10, 6e-10, 6.4e-10, 5.4e-10, 5.6e-10, 5.6e-10, 6.3e-10, 5.8e-10, 5.4e-10, 6.1e-10, 6.2e-10, 5.5e-10, 6e-10, 6.4e-10, 5.8e-10, 6.6e-10, 5.5e-10, 5.8e-10, 6.1e-10, 6.2e-10, 5.8e-10, 5.3e-10, 5.7e-10, 5.7e-10, 6.3e-10, 6.6e-10, 5.9e-10, 5.4e-10, 5.4e-10, 5.9e-10, 5.5e-10, 5.9e-10, 5.8e-10, 5.5e-10, 5.5e-10, 5.6e-10, 5.7e-10, 6.2e-10, 6.2e-10, 5.7e-10, 6.2e-10, 5.4e-10, 6.2e-10, 6.5e-10, 5.5e-10, 5.6e-10, 5.7e-10, 6.1e-10, 7.1e-10, 5.3e-10, 5.3e-10, 6e-10, 6e-10, 5.9e-10, 5.5e-10, 
