Linked List
Insert times:
1.7208e-07, 9.165e-08, 7.587e-08, 7.819e-08, 5.915e-08, 7.806e-08, 7.464e-08, 7.552e-08, 7.912e-08, 6.079e-08, 7.907e-08, 7.543e-08, 7.955e-08, 6.114e-08, 7.866e-08, 7.777e-08, 7.75e-08, 7.816e-08, 6.177e-08, 7.95e-08, 7.807e-08, 7.93e-08, 6.112e-08, 7.594e-08, 8.017e-08, 8.071e-08, 7.722e-08, 6.162e-08, 7.609e-08, 7.94e-08, 7.754e-08, 6.137e-08, 7.64e-08, 8.03e-08, 7.873e-08, 8.055e-08, 6.194e-08, 7.806e-08, 7.877e-08, 7.822e-08, 7.83e-08, 6.175e-08, 7.761e-08, 7.641e-08, 7.916e-08, 6.135e-08, 7.625e-08, 7.673e-08, 7.695e-08, 7.696e-08, 6.153e-08, 7.894e-08, 7.854e-08, 8.006e-08, 6.176e-08, 7.488e-08, 7.797e-08, 7.747e-08, 7.682e-08, 6.259e-08, 8.054e-08, 7.857e-08, 7.942e-08, 6.187e-08, 7.665e-08, 7.619e-08, 7.774e-08, 7.821e-08, 6.214e-08, 7.645e-08, 7.936e-08, 7.981e-08, 7.737e-08, 6.222e-08, 7.896e-08, 7.875e-08, 7.9e-08, 6.152e-08, 7.81e-08, 7.717e-08, 7.934e-08, 8.003e-08, 6.203e-08, 9.119e-08, 8.059e-08, 8.139e-08, 6.168e-08, 7.794e-08, 7.822e-08, 8.14e-08, 8.075e-08, 6.19e-08, 7.846e-08, 7.73e-08, 7.88e-08, 6.226e-08, 7.81e-08, 7.75e-08, 7.721e-08, 8.028e-08, 6.256e-08, 7.764e-08, 7.781e-08, 7.967e-08, 7.944e-08, 6.237e-08, 9.614e-08, 7.947e-08, 8.15e-08, 6.175e-08, 7.796e-08, 7.871e-08, 8.177e-08, 7.96e-08, 6.177e-08, 7.94e-08, 8.228e-08, 7.973e-08, 6.196e-08, 1.2597e-07, 7.925e-08, 7.945e-08, 8.448e-08, 8.819e-08, 2.8234e-07, 8.26e-08, 7.891e-08, 6.171e-08, 7.713e-08, 8.019e-08, 7.966e-08, 8.3e-08, 6.146e-08, 7.988e-08, 7.78e-08, 8.139e-08, 7.989e-08, 6.172e-08, 8.03e-08, 8.172e-08, 8.165e-08, 6.242e-08, 8.322e-08, 8.127e-08, 7.76e-08, 7.955e-08, 6.22e-08, 8.085e-08, 8.036e-08, 7.875e-08, 6.215e-08, 7.846e-08, 7.739e-08, 8.138e-08, 8.013e-08, 6.246e-08, 7.89e-08, 8.188e-08, 7.887e-08, 6.233e-08, 7.652e-08, 8.053e-08, 7.936e-08, 8.293e-08, 6.505e-08, 1.3857e-07, 9.263e-08, 6.53e-08, 8.436e-08, 8.498e-08, 8.442e-08, 6.375e-08, 8.07e-08, 8.423e-08, 8.644e-08, 8.432e-08, 6.404e-08, 2.7596e-07, 1.3167e-07, 1.3166e-07, 1.332e-07, 9.595e-08, 9.735e-08, 8.23e-08, 2.4839e-07, 1.2691e-07, 1.0952e-07, 5.6861e-07, 3.3919e-07, 1.2748e-07, 8.2e-08, 8.08e-08, 7.962e-08, 6.135e-08, 8.199e-08, 8.266e-08, 8e-08, 6.159e-08, 8.146e-08, 7.888e-08, 8.317e-08, 8.331e-08, 6.146e-08, 7.803e-08, 7.857e-08, 8.427e-08, 6.207e-08, 7.803e-08, 8.122e-08, 7.943e-08, 7.947e-08, 6.209e-08, 8.149e-08, 8.387e-08, 8.158e-08, 6.161e-08, 8.113e-08, 7.853e-08, 8.285e-08, 1.2712e-07, 1.0735e-07, 6.397e-08, 1.279e-07, 1.2397e-07, 1.2833e-07, 1.2273e-07, 9.679e-08, 1.3076e-07, 8.868e-08, 8.16e-08, 6.376e-08, 8.367e-08, 2.2678e-07, 1.0239e-07, 1.2383e-07, 7.963e-08, 6.188e-08, 7.787e-08, 8.168e-08, 7.876e-08, 1.7888e-07, 6.23e-08, 8.295e-08, 7.891e-08, 8.354e-08, 6.213e-08, 7.902e-08, 8.25e-08, 7.987e-08, 8.357e-08, 3.3971e-07, 1.1492e-07, 1.0521e-07, 6.571e-08, 1.0214e-07, 1.0779e-07, 9.195e-08, 1.0023e-07, 6.355e-08, 4.026e-07, 8.289e-08, 2.1736e-07, 9.299e-08, 1.2474e-07, 2.5414e-07, 1.101e-07, 6.202e-08, 8.073e-08, 8.001e-08, 8.378e-08, 8.231e-08, 6.194e-08, 8.325e-08, 7.987e-08, 8.454e-08, 1.2831e-07, 6.296e-08, 8.894e-08, 7.85e-08, 7.947e-08, 8.261e-08, 6.202e-08, 7.833e-08, 8.006e-08, 8.495e-08, 6.157e-08, 8.096e-08, 7.95e-08, 8.324e-08, 7.924e-08, 6.204e-08, 8.215e-08, 8.794e-08, 8.142e-08, 8.263e-08, 6.147e-08, 7.913e-08, 8.391e-08, 8.208e-08, 6.166e-08, 8.405e-08, 8.148e-08, 7.851e-08, 8.007e-08, 6.142e-08, 8.163e-08, 7.879e-08, 7.918e-08, 6.173e-08, 7.987e-08, 8.036e-08, 7.946e-08, 8.451e-08, 6.2e-08, 8.057e-08, 8.103e-08, 8.316e-08, 6.306e-08, 7.906e-08, 8.118e-08, 1.4077e-07, 1.2144e-07, 9.692e-08, 8.502e-08, 6.249e-08, 7.891e-08, 8e-08, 8.031e-08, 6.239e-08, 8.543e-08, 8.37e-08, 1.2709e-07, 4.0272e-07, 8.182e-08, 6.967e-08, 1.0797e-07, 1.3856e-07, 1.1639e-07, 8.155e-08, 8.394e-08, 6.232e-08, 7.747e-08, 7.818e-08, 7.318e-08, 1.1731e-07, 8.48e-08, 8.036e-08, 6.198e-08, 8.053e-08, 3.8407e-07, 7.037e-08, 1.2085e-07, 9.514e-08, 3.6488e-07, 6.791e-08, 1.1917e-07, 8.177e-08, 8.11e-08, 6.35e-08, 8.524e-08, 8.535e-08, 8.362e-08, 8.358e-08, 6.365e-08, 8.414e-08, 8.032e-08, 8.469e-08, 8.197e-08, 6.44e-08, 8.488e-08, 8.358e-08, 8.232e-08, 6.392e-08, 8.033e-08, 9.647e-08, 2.1083e-07, 1.1918e-07, 8.555e-08, 8.563e-08, 6.361e-08, 8.065e-08, 1.1824e-07, 8.569e-08, 6.226e-08, 8.394e-08, 7.947e-08, 9.386e-08, 8.482e-08, 6.471e-08, 8.484e-08, 8.012e-08, 8.46e-08, 8.139e-08, 6.362e-08, 8.323e-08, 8.146e-08, 8.688e-08, 6.384e-08, 8.395e-08, 
Search times: 
3.7e-09, 7.07e-09, 1.057e-08, 1.435e-08, 1.743e-08, 2.158e-08, 2.494e-08, 2.862e-08, 3.208e-08, 3.547e-08, 3.918e-08, 4.305e-08, 4.654e-08, 5.004e-08, 5.342e-08, 5.732e-08, 6.106e-08, 6.44e-08, 6.788e-08, 7.134e-08, 7.535e-08, 7.874e-08, 8.246e-08, 8.589e-08, 8.997e-08, 9.321e-08, 9.665e-08, 1.0023e-07, 1.0362e-07, 1.0745e-07, 1.1115e-07, 1.1472e-07, 1.1815e-07, 1.2215e-07, 1.2588e-07, 1.2931e-07, 1.3261e-07, 1.3612e-07, 1.3996e-07, 1.4359e-07, 1.4784e-07, 1.5087e-07, 1.5542e-07, 1.5921e-07, 1.6296e-07, 1.65e-07, 1.6832e-07, 1.7284e-07, 1.7629e-07, 1.8108e-07, 1.8323e-07, 1.8835e-07, 1.912e-07, 1.9486e-07, 1.9902e-07, 2.0229e-07, 2.0558e-07, 2.0878e-07, 2.1251e-07, 2.1512e-07, 2.1992e-07, 2.2365e-07, 2.2731e-07, 2.2993e-07, 2.3445e-07, 2.3789e-07, 2.4193e-07, 2.4563e-07, 2.4799e-07, 2.5237e-07, 2.5644e-07, 2.6017e-07, 2.6443e-07, 2.6607e-07, 2.717e-07, 2.7432e-07, 2.7853e-07, 2.8132e-07, 2.8612e-07, 2.9008e-07, 2.9304e-07, 2.972e-07, 2.994e-07, 3.054e-07, 3.0905e-07, 3.1345e-07, 3.1463e-07, 3.2033e-07, 3.234e-07, 3.2684e-07, 3.3063e-07, 3.3156e-07, 3.3831e-07, 3.4156e-07, 3.4486e-07, 3.4592e-07, 3.5242e-07, 3.5557e-07, 3.5969e-07, 3.643e-07, 3.6492e-07, 3.707e-07, 3.7376e-07, 3.7867e-07, 3.8256e-07, 3.8228e-07, 3.8813e-07, 3.921e-07, 3.9696e-07, 3.9706e-07, 4.0299e-07, 4.0666e-07, 4.1106e-07, 4.1515e-07, 4.1626e-07, 4.2153e-07, 4.2563e-07, 4.2892e-07, 4.3e-07, 4.3474e-07, 4.3895e-07, 4.4572e-07, 5.5029e-07, 5.0162e-07, 4.5258e-07, 4.5657e-07, 4.6116e-07, 4.6358e-07, 4.6806e-07, 4.7297e-07, 4.7578e-07, 4.8028e-07, 4.8177e-07, 4.8684e-07, 4.9031e-07, 4.9465e-07, 4.9779e-07, 4.98e-07, 5.0521e-07, 5.0933e-07, 5.1223e-07, 5.1353e-07, 5.1938e-07, 5.2329e-07, 5.266e-07, 5.2959e-07, 5.3184e-07, 5.38e-07, 5.4143e-07, 5.4547e-07, 5.4497e-07, 5.5107e-07, 5.5538e-07, 5.5986e-07, 5.6327e-07, 5.6338e-07, 5.696e-07, 5.7253e-07, 5.768e-07, 5.7964e-07, 5.8474e-07, 5.8781e-07, 6.1015e-07, 8.4787e-07, 7.9701e-07, 6.5629e-07, 6.3303e-07, 6.0854e-07, 6.1194e-07, 6.1755e-07, 6.2118e-07, 6.2233e-07, 6.2733e-07, 6.3087e-07, 6.362e-07, 6.3964e-07, 9.788e-07, 7.321e-07, 7.2903e-07, 7.9856e-07, 8.2642e-07, 7.6326e-07, 6.6607e-07, 6.7501e-07, 8.3622e-07, 1.07044e-06, 6.8975e-07, 6.9648e-07, 8.6294e-07, 7.138e-07, 6.9347e-07, 6.9738e-07, 7.0026e-07, 7.0293e-07, 7.0765e-07, 7.1094e-07, 7.1491e-07, 7.166e-07, 7.2255e-07, 7.2563e-07, 7.2906e-07, 7.3277e-07, 7.3582e-07, 7.4038e-07, 7.4368e-07, 7.4793e-07, 7.4944e-07, 7.5445e-07, 7.5959e-07, 7.6232e-07, 7.6664e-07, 7.6845e-07, 7.7219e-07, 7.7712e-07, 7.7987e-07, 7.8167e-07, 7.8815e-07, 7.9156e-07, 9.6921e-07, 9.3744e-07, 8.1534e-07, 1.00499e-06, 9.7268e-07, 9.2443e-07, 9.355e-07, 9.3411e-07, 9.4077e-07, 8.94e-07, 8.3022e-07, 8.3565e-07, 8.5849e-07, 2.06155e-06, 1.57191e-06, 1.05563e-06, 8.5771e-07, 8.5737e-07, 8.5822e-07, 8.6344e-07, 8.6806e-07, 8.7962e-07, 8.7585e-07, 8.7688e-07, 8.8173e-07, 8.8645e-07, 8.8929e-07, 8.9011e-07, 8.967e-07, 9.0048e-07, 9.0345e-07, 9.0852e-07, 9.8688e-07, 1.43995e-06, 9.4668e-07, 9.6562e-07, 1.05308e-06, 1.04383e-06, 9.9164e-07, 9.5234e-07, 1.59582e-06, 1.64706e-06, 2.44171e-06, 1.51409e-06, 1.1048e-06, 2.63544e-06, 2.11024e-06, 9.9469e-07, 9.7413e-07, 9.7347e-07, 9.761e-07, 9.8052e-07, 1.00265e-06, 1.0007e-06, 9.8935e-07, 9.9355e-07, 1.48024e-06, 1.11931e-06, 1.00997e-06, 1.00926e-06, 1.03568e-06, 1.01615e-06, 1.01953e-06, 1.0219e-06, 1.02679e-06, 1.03127e-06, 1.03481e-06, 1.03632e-06, 1.04205e-06, 1.04525e-06, 1.04866e-06, 1.05209e-06, 1.05224e-06, 1.0584e-06, 1.06344e-06, 1.06765e-06, 1.07e-06, 1.07159e-06, 1.0771e-06, 1.08077e-06, 1.08464e-06, 1.09937e-06, 1.09021e-06, 1.09503e-06, 1.09917e-06, 1.10204e-06, 1.10467e-06, 1.1109e-06, 1.1137e-06, 1.11699e-06, 1.11923e-06, 1.12386e-06, 1.12695e-06, 1.13171e-06, 1.13587e-06, 1.13598e-06, 1.1413e-06, 1.14727e-06, 1.1504e-06, 1.15157e-06, 1.49341e-06, 1.80245e-06, 1.27802e-06, 1.21269e-06, 1.1756e-06, 1.17634e-06, 1.177e-06, 1.18252e-06, 1.18595e-06, 1.1905e-06, 1.20913e-06, 1.21685e-06, 1.48429e-06, 1.28987e-06, 1.74326e-06, 1.48138e-06, 1.23857e-06, 1.35872e-06, 1.71773e-06, 1.22658e-06, 1.22964e-06, 1.23292e-06, 1.23477e-06, 1.24079e-06, 2.20735e-06, 1.48484e-06, 1.26462e-06, 1.2564e-06, 1.2583e-06, 1.25978e-06, 2.09707e-06, 1.68564e-06, 1.45918e-06, 1.35957e-06, 1.95132e-06, 1.74498e-06, 1.69139e-06, 1.36653e-06, 1.30225e-06, 1.30016e-06, 1.30445e-06, 1.30844e-06, 1.36939e-06, 1.36102e-06, 1.31622e-06, 1.31951e-06, 1.3235e-06, 1.3273e-06, 1.33076e-06, 1.37933e-06, 1.38082e-06, 1.34027e-06, 1.34699e-06, 1.34862e-06, 1.35064e-06, 2.03457e-06, 1.74921e-06, 1.85067e-06, 1.43619e-06, 1.38352e-06, 1.37465e-06, 1.37533e-06, 1.5822e-06, 1.39031e-06, 1.38848e-06, 1.39043e-06, 1.39497e-06, 1.73593e-06, 1.46141e-06, 1.45431e-06, 1.40735e-06, 1.41288e-06, 1.41718e-06, 1.42077e-06, 1.42483e-06, 1.51594e-06, 1.43108e-06, 1.43562e-06, 1.43911e-06, 1.441e-06, 1.44778e-06, 
