Hash Quadratic
Insert times:
2.019e-08, 2.136e-08, 2.128e-08, 1.951e-08, 1.932e-08, 1.643e-08, 1.758e-08, 1.623e-08, 1.659e-08, 1.397e-08, 2.006e-08, 1.521e-08, 1.394e-08, 1.88e-08, 1.648e-08, 1.518e-08, 1.419e-08, 1.299e-08, 1.346e-08, 1.583e-08, 1.321e-08, 1.353e-08, 1.559e-08, 1.431e-08, 1.391e-08, 1.313e-08, 1.341e-08, 1.131e-08, 1.471e-08, 1.442e-08, 1.42e-08, 1.542e-08, 1.505e-08, 1.184e-08, 1.472e-08, 1.484e-08, 1.318e-08, 1.567e-08, 1.317e-08, 1.457e-08, 1.437e-08, 1.803e-08, 1.431e-08, 1.282e-08, 1.157e-08, 1.585e-08, 1.411e-08, 1.235e-08, 1.192e-08, 1.372e-08, 1.55e-08, 1.435e-08, 1.339e-08, 1.307e-08, 1.52e-08, 1.581e-08, 1.663e-08, 1.333e-08, 1.414e-08, 1.463e-08, 1.546e-08, 1.428e-08, 1.391e-08, 1.104e-08, 1.522e-08, 1.563e-08, 1.439e-08, 1.598e-08, 1.456e-08, 1.331e-08, 1.621e-08, 1.746e-08, 1.546e-08, 1.55e-08, 1.51e-08, 1.744e-08, 1.761e-08, 1.802e-08, 1.52e-08, 1.584e-08, 1.442e-08, 1.549e-08, 1.565e-08, 1.702e-08, 1.608e-08, 1.641e-08, 1.873e-08, 1.718e-08, 1.59e-08, 1.62e-08, 2.118e-08, 1.687e-08, 1.559e-08, 1.453e-08, 1.765e-08, 1.533e-08, 1.547e-08, 1.827e-08, 1.829e-08, 2.034e-08, 2.068e-08, 1.86e-08, 1.879e-08, 1.997e-08, 1.977e-08, 1.681e-08, 2.264e-08, 2.187e-08, 1.879e-08, 1.962e-08, 2.066e-08, 1.963e-08, 2.507e-08, 1.947e-08, 2.027e-08, 2.122e-08, 1.969e-08, 2.03e-08, 2.128e-08, 1.816e-08, 2.079e-08, 2.17e-08, 2.346e-08, 1.855e-08, 2.117e-08, 1.864e-08, 2.06e-08, 2.291e-08, 2.191e-08, 2.02e-08, 1.964e-08, 2.369e-08, 2.034e-08, 2.058e-08, 2.348e-08, 2.19e-08, 2.065e-08, 2.498e-08, 2.469e-08, 2.145e-08, 1.963e-08, 2.6e-08, 2.461e-08, 2.812e-08, 2.49e-08, 2.536e-08, 2.787e-08, 2.261e-08, 2.501e-08, 2.449e-08, 2.516e-08, 2.471e-08, 2.611e-08, 2.802e-08, 2.797e-08, 2.52e-08, 3.033e-08, 2.481e-08, 2.758e-08, 2.599e-08, 2.525e-08, 2.615e-08, 2.295e-08, 2.672e-08, 2.691e-08, 2.677e-08, 2.62e-08, 2.669e-08, 2.623e-08, 2.913e-08, 2.703e-08, 2.208e-08, 2.379e-08, 2.733e-08, 2.982e-08, 2.897e-08, 2.799e-08, 2.691e-08, 2.742e-08, 2.943e-08, 3.345e-08, 2.697e-08, 3.208e-08, 3.089e-08, 2.915e-08, 3.054e-08, 3.125e-08, 3.13e-08, 3.087e-08, 2.996e-08, 3.183e-08, 2.981e-08, 3.382e-08, 3.314e-08, 3.166e-08, 3.118e-08, 3.284e-08, 3.64e-08, 3.356e-08, 3.143e-08, 3.35e-08, 3.157e-08, 3.454e-08, 3.646e-08, 3.454e-08, 3.505e-08, 3.579e-08, 3.478e-08, 3.672e-08, 3.576e-08, 3.249e-08, 3.227e-08, 3.479e-08, 3.583e-08, 3.452e-08, 3.26e-08, 3.924e-08, 3.584e-08, 3.744e-08, 3.718e-08, 3.851e-08, 3.568e-08, 3.671e-08, 3.453e-08, 3.563e-08, 3.635e-08, 3.635e-08, 3.874e-08, 3.658e-08, 3.91e-08, 4.076e-08, 3.945e-08, 4.026e-08, 3.994e-08, 3.854e-08, 3.704e-08, 3.918e-08, 3.677e-08, 4.004e-08, 4.063e-08, 3.97e-08, 3.877e-08, 4.33e-08, 4.111e-08, 3.919e-08, 3.955e-08, 4.159e-08, 4.01e-08, 4.095e-08, 4.049e-08, 4.142e-08, 3.971e-08, 4.353e-08, 3.946e-08, 4.002e-08, 4.068e-08, 3.772e-08, 3.937e-08, 4.54e-08, 3.623e-08, 4.185e-08, 4.14e-08, 4.007e-08, 4.123e-08, 4.316e-08, 4.111e-08, 4.061e-08, 4.244e-08, 4.302e-08, 4.268e-08, 4.565e-08, 4.66e-08, 4.628e-08, 4.266e-08, 4.397e-08, 4.28e-08, 4.386e-08, 4.282e-08, 4.531e-08, 4.446e-08, 4.464e-08, 4.615e-08, 4.406e-08, 4.427e-08, 4.743e-08, 4.696e-08, 4.644e-08, 4.662e-08, 4.741e-08, 4.653e-08, 4.696e-08, 4.897e-08, 4.585e-08, 4.579e-08, 4.917e-08, 5.21e-08, 5.293e-08, 5.328e-08, 4.913e-08, 5.016e-08, 5.137e-08, 4.972e-08, 5.148e-08, 5.522e-08, 5.267e-08, 5.81e-08, 5.192e-08, 5.284e-08, 5.107e-08, 5.003e-08, 5.305e-08, 5.58e-08, 5.376e-08, 5.212e-08, 5.103e-08, 6.322e-08, 5.521e-08, 5.505e-08, 5.931e-08, 5.397e-08, 6.272e-08, 5.685e-08, 6.25e-08, 5.752e-08, 6.628e-08, 6.362e-08, 6.123e-08, 6.323e-08, 5.949e-08, 6.095e-08, 7.432e-08, 7.003e-08, 7.986e-08, 7.94e-08, 7.317e-08, 7.659e-08, 8.137e-08, 7.994e-08, 8.871e-08, 8.228e-08, 8.601e-08, 8.531e-08, 7.974e-08, 7.704e-08, 1.0708e-07, 9.056e-08, 1.136e-07, 9.503e-08, 8.356e-08, 1.0329e-07, 9.198e-08, 1.1205e-07, 1.1881e-07, 1.1987e-07, 1.6117e-07, 1.2965e-07, 1.3796e-07, 1.2695e-07, 1.5887e-07, 1.2817e-07, 2.1477e-07, 1.4517e-07, 1.9372e-07, 1.7638e-07, 1.7523e-07, 2.5994e-07, 2.2498e-07, 2.096e-07, 3.3999e-07, 2.242e-07, 3.1008e-07, 3.0266e-07, 2.3609e-07, 3.1858e-07, 2.7256e-07, 3.6917e-07, 4.0466e-07, 3.9084e-07, 5.2032e-07, 5.1553e-07, 5.2159e-07, 5.8695e-07, 6.9537e-07, 9.1265e-07, 7.0414e-07, 7.7926e-07, 8.4209e-07, 1.09589e-06, 9.148e-07, 1.357e-06, 1.34305e-06, 1.50041e-06, 1.6724e-06, 2.53754e-06, 5.87935e-06, 5.82224e-06, 9.98545e-06, 1.19564e-05, 1.7549e-05, 
Search times: 
7e-10, 5.4e-10, 5.7e-10, 6.2e-10, 5.6e-10, 5.6e-10, 6.2e-10, 5.5e-10, 5.5e-10, 6.1e-10, 6e-10, 5.7e-10, 5.6e-10, 6e-10, 6.2e-10, 5.4e-10, 6.1e-10, 6.2e-10, 5.7e-10, 5.7e-10, 6.2e-10, 5.7e-10, 6.2e-10, 5.4e-10, 5.3e-10, 6.2e-10, 5.6e-10, 5.7e-10, 5.4e-10, 5.7e-10, 6.1e-10, 6.3e-10, 6.2e-10, 5.7e-10, 5.6e-10, 6.6e-10, 5.5e-10, 6.5e-10, 6.1e-10, 6.2e-10, 6.2e-10, 5.7e-10, 6.2e-10, 6.3e-10, 5.7e-10, 6.3e-10, 6.2e-10, 5.5e-10, 5.7e-10, 5.7e-10, 5.5e-10, 5.7e-10, 5.6e-10, 5.6e-10, 5.7e-10, 5.7e-10, 5.7e-10, 5.4e-10, 6e-10, 6.2e-10, 5.5e-10, 5.7e-10, 6.3e-10, 5.7e-10, 6.2e-10, 6.2e-10, 5.4e-10, 5.9e-10, 6e-10, 6.1e-10, 6e-10, 6.2e-10, 6.2e-10, 5.7e-10, 6.2e-10, 5.6e-10, 5.6e-10, 5.5e-10, 6.2e-10, 5.7e-10, 5.7e-10, 6.2e-10, 5.9e-10, 6e-10, 6.2e-10, 5.4e-10, 5.6e-10, 5.7e-10, 5.6e-10, 6.2e-10, 6.2e-10, 6.2e-10, 5.7e-10, 5.4e-10, 5.5e-10, 5.7e-10, 5.4e-10, 6.2e-10, 5.6e-10, 5.9e-10, 5.6e-10, 5.4e-10, 6.2e-10, 5.6e-10, 5.4e-10, 5.5e-10, 6.2e-10, 5.7e-10, 6.2e-10, 6.2e-10, 5.7e-10, 6e-10, 5.5e-10, 5.5e-10, 5.6e-10, 6.2e-10, 6.2e-10, 5.6e-10, 6.2e-10, 5.8e-10, 5.6e-10, 6.2e-10, 5.6e-10, 5.6e-10, 6.2e-10, 6.2e-10, 5.5e-10, 5.7e-10, 5.4e-10, 6.2e-10, 5.4e-10, 5.6e-10, 5.7e-10, 5.7e-10, 5.7e-10, 6.3e-10, 5.7e-10, 5.6e-10, 5.5e-10, 6e-10, 6.3e-10, 5.7e-10, 6.2e-10, 6.3e-10, 6.3e-10, 6.2e-10, 5.6e-10, 5.6e-10, 6.2e-10, 6.3e-10, 6.2e-10, 5.6e-10, 5.5e-10, 6e-10, 7e-10, 6.3e-10, 6.2e-10, 5.6e-10, 5.5e-10, 6e-10, 5.6e-10, 6.2e-10, 6.1e-10, 6.2e-10, 6e-10, 5.7e-10, 6.2e-10, 5.7e-10, 6.2e-10, 6.2e-10, 5.5e-10, 6.2e-10, 6.2e-10, 5.7e-10, 5.4e-10, 5.7e-10, 6.3e-10, 5.6e-10, 5.5e-10, 5.4e-10, 6e-10, 6.3e-10, 5.5e-10, 5.7e-10, 5.6e-10, 5.6e-10, 5.7e-10, 5.7e-10, 6.2e-10, 5.7e-10, 5.6e-10, 5.6e-10, 6.1e-10, 6.2e-10, 6.2e-10, 5.7e-10, 5.6e-10, 5.6e-10, 5.7e-10, 6.2e-10, 5.7e-10, 5.7e-10, 5.6e-10, 5.7e-10, 5.6e-10, 6.2e-10, 6.3e-10, 5.5e-10, 6.2e-10, 5.6e-10, 5.6e-10, 5.6e-10, 5.4e-10, 5.7e-10, 5.5e-10, 6.1e-10, 5.5e-10, 6e-10, 5.7e-10, 6.3e-10, 6.3e-10, 6.1e-10, 5.8e-10, 5.7e-10, 6.2e-10, 5.8e-10, 5.8e-10, 6.2e-10, 5.7e-10, 6e-10, 5.5e-10, 5.3e-10, 6.1e-10, 5.7e-10, 5.9e-10, 5.5e-10, 6.2e-10, 5.3e-10, 5.4e-10, 5.7e-10, 5.7e-10, 5.5e-10, 5.7e-10, 6e-10, 6.4e-10, 5.7e-10, 6.3e-10, 5.3e-10, 5.5e-10, 5.4e-10, 6e-10, 6.3e-10, 5.4e-10, 5.9e-10, 5.6e-10, 5.6e-10, 5.5e-10, 6.3e-10, 5.5e-10, 5.7e-10, 6.2e-10, 5.9e-10, 5.4e-10, 5.6e-10, 5.6e-10, 6.1e-10, 5.7e-10, 5.7e-10, 5.4e-10, 5.6e-10, 5.3e-10, 5.7e-10, 6e-10, 6.2e-10, 5.5e-10, 5.6e-10, 5.6e-10, 5.3e-10, 6.3e-10, 5.9e-10, 5.6e-10, 6e-10, 6e-10, 6e-10, 6e-10, 6.2e-10, 6e-10, 6.5e-10, 5.6e-10, 5.7e-10, 5.5e-10, 5.5e-10, 5.6e-10, 6.3e-10, 5.5e-10, 5.7e-10, 6e-10, 6e-10, 5.6e-10, 5.7e-10, 5.8e-10, 5.7e-10, 5.6e-10, 5.3e-10, 5.7e-10, 6.4e-10, 5.6e-10, 6.4e-10, 5.4e-10, 6.2e-10, 5.5e-10, 5.8e-10, 5.4e-10, 5.6e-10, 6e-10, 6.1e-10, 5.8e-10, 6.1e-10, 5.7e-10, 5.9e-10, 5.7e-10, 6.3e-10, 6.5e-10, 5.7e-10, 6.2e-10, 6.5e-10, 5.9e-10, 5.6e-10, 6.2e-10, 5.3e-10, 6.2e-10, 5.6e-10, 6.4e-10, 5.9e-10, 6.1e-10, 5.6e-10, 5.9e-10, 6.4e-10, 5.7e-10, 6.2e-10, 5.7e-10, 5.7e-10, 5.5e-10, 6.5e-10, 5.6e-10, 6.2e-10, 6e-10, 6.2e-10, 6.5e-10, 6.6e-10, 5.9e-10, 5.5e-10, 6.2e-10, 5.7e-10, 5.5e-10, 6.3e-10, 6.4e-10, 6.6e-10, 6.6e-10, 5.5e-10, 6.7e-10, 5.7e-10, 6.5e-10, 5.9e-10, 6e-10, 6.5e-10, 6e-10, 6.6e-10, 6e-10, 6.5e-10, 6.6e-10, 6.5e-10, 6.5e-10, 6.1e-10, 6.4e-10, 5.7e-10, 6.3e-10, 6.3e-10, 5.8e-10, 6.5e-10, 5.6e-10, 6e-10, 5.7e-10, 6.6e-10, 6.5e-10, 6.6e-10, 6e-10, 6.5e-10, 6.5e-10, 6.5e-10, 5.8e-10, 5.9e-10, 6.4e-10, 6.6e-10, 8.3e-10, 6.7e-10, 5.9e-10, 5.7e-10, 6e-10, 
