Hash Linear
Insert times:
3.293e-08, 2.943e-08, 2.911e-08, 2.603e-08, 3.144e-08, 2.618e-08, 2.666e-08, 2.559e-08, 2.784e-08, 2.588e-08, 2.814e-08, 2.388e-08, 2.474e-08, 2.473e-08, 3.033e-08, 2.518e-08, 2.254e-08, 2.47e-08, 2.557e-08, 2.923e-08, 3.05e-08, 2.47e-08, 3.8e-08, 2.218e-08, 2.378e-08, 3.219e-08, 2.961e-08, 2.54e-08, 4.059e-08, 4.349e-08, 4.318e-08, 4.755e-08, 6.758e-08, 3.621e-08, 5.362e-08, 6.755e-08, 4.829e-08, 8.482e-08, 4.935e-08, 4.035e-08, 9.404e-08, 8.088e-08, 6.269e-08, 4.926e-08, 5.575e-08, 9.429e-08, 8.101e-08, 7.192e-08, 6.624e-08, 1.0731e-07, 1.1344e-07, 7.941e-08, 9.7e-08, 8.359e-08, 8.456e-08, 1.5522e-07, 1.7322e-07, 1.2834e-07, 1.4596e-07, 1.8829e-07, 1.6673e-07, 1.5021e-07, 1.7255e-07, 8.846e-08, 2.1481e-07, 2.4611e-07, 1.8249e-07, 3.0167e-07, 2.0843e-07, 1.7145e-07, 2.6968e-07, 2.5174e-07, 3.6073e-07, 2.5276e-07, 2.4164e-07, 3.9292e-07, 4.7183e-07, 3.5007e-07, 2.54e-07, 2.9305e-07, 2.2003e-07, 3.1256e-07, 3.9464e-07, 4.0279e-07, 3.9451e-07, 3.9831e-07, 5.5189e-07, 3.7236e-07, 4.4482e-07, 4.7642e-07, 6.5148e-07, 4.3116e-07, 4.6514e-07, 3.3549e-07, 5.3881e-07, 4.4649e-07, 4.7791e-07, 6.6664e-07, 7.3608e-07, 8.3953e-07, 8.2667e-07, 7.6096e-07, 7.749e-07, 8.5631e-07, 9.074e-07, 5.4596e-07, 1.07529e-06, 1.07085e-06, 9.2819e-07, 9.148e-07, 1.03639e-06, 9.8312e-07, 1.1898e-06, 9.8514e-07, 8.0977e-07, 1.21277e-06, 1.22221e-06, 1.18588e-06, 1.28948e-06, 1.27729e-06, 1.26818e-06, 1.37623e-06, 1.6751e-06, 9.2972e-07, 1.26532e-06, 1.09666e-06, 1.44174e-06, 1.8549e-06, 1.50404e-06, 1.42876e-06, 1.60575e-06, 2.10548e-06, 1.77551e-06, 1.58888e-06, 1.61208e-06, 1.97216e-06, 2.03087e-06, 2.32786e-06, 1.95689e-06, 1.80316e-06, 1.82674e-06, 2.46345e-06, 2.37882e-06, 2.42031e-06, 2.26758e-06, 2.23724e-06, 2.73257e-06, 2.23501e-06, 2.47591e-06, 2.658e-06, 2.91496e-06, 2.53238e-06, 2.70831e-06, 3.42193e-06, 3.44383e-06, 2.22889e-06, 3.10032e-06, 3.06759e-06, 3.11194e-06, 3.71935e-06, 3.62383e-06, 2.84552e-06, 2.71267e-06, 3.42529e-06, 3.65956e-06, 3.71891e-06, 3.41763e-06, 4.46964e-06, 4.16722e-06, 5.0752e-06, 4.13092e-06, 3.20015e-06, 4.01476e-06, 4.46284e-06, 4.22108e-06, 4.47856e-06, 4.0144e-06, 4.88867e-06, 4.3238e-06, 4.16215e-06, 5.29849e-06, 4.05237e-06, 5.76176e-06, 5.73571e-06, 4.55428e-06, 4.65114e-06, 5.823e-06, 5.18908e-06, 6.20906e-06, 5.68815e-06, 6.02089e-06, 5.20242e-06, 6.51172e-06, 6.719e-06, 6.2903e-06, 6.76937e-06, 6.59104e-06, 6.79829e-06, 6.47452e-06, 7.22309e-06, 7.30137e-06, 6.55128e-06, 6.9092e-06, 9.13365e-06, 7.53222e-06, 7.79227e-06, 8.61358e-06, 7.5154e-06, 8.35682e-06, 8.14387e-06, 7.91991e-06, 8.31863e-06, 7.92466e-06, 8.17035e-06, 8.5855e-06, 8.34999e-06, 9.29665e-06, 9.24574e-06, 1.00238e-05, 9.60517e-06, 9.71014e-06, 1.01706e-05, 9.38861e-06, 9.49553e-06, 1.14877e-05, 1.06212e-05, 9.99155e-06, 1.14244e-05, 1.09022e-05, 1.09905e-05, 1.06504e-05, 1.15327e-05, 1.10637e-05, 1.27872e-05, 1.2135e-05, 1.09277e-05, 1.13751e-05, 1.06292e-05, 1.28459e-05, 1.31731e-05, 1.48431e-05, 1.19353e-05, 1.46709e-05, 1.28415e-05, 1.65564e-05, 1.43597e-05, 1.56043e-05, 1.56591e-05, 1.46569e-05, 1.481e-05, 1.69048e-05, 1.53699e-05, 1.62603e-05, 1.60676e-05, 1.61902e-05, 1.77763e-05, 1.48868e-05, 1.55045e-05, 1.89756e-05, 1.42609e-05, 1.48543e-05, 1.68797e-05, 1.77987e-05, 1.68842e-05, 1.84989e-05, 1.64766e-05, 1.68022e-05, 1.66649e-05, 1.85058e-05, 1.7776e-05, 2.2244e-05, 1.87208e-05, 2.00484e-05, 2.23093e-05, 2.0161e-05, 2.00514e-05, 2.0518e-05, 2.19643e-05, 2.06183e-05, 2.20429e-05, 2.19211e-05, 2.30744e-05, 2.23493e-05, 2.18874e-05, 2.43422e-05, 2.2554e-05, 2.33863e-05, 2.68997e-05, 2.2782e-05, 2.29672e-05, 2.51975e-05, 2.41413e-05, 2.31377e-05, 2.73129e-05, 2.33044e-05, 2.81075e-05, 3.04613e-05, 2.66985e-05, 2.98591e-05, 2.91172e-05, 3.18265e-05, 3.12454e-05, 2.9875e-05, 2.82357e-05, 3.26851e-05, 2.78769e-05, 2.90082e-05, 3.11098e-05, 3.25707e-05, 3.12425e-05, 3.19952e-05, 2.96918e-05, 3.07707e-05, 3.18103e-05, 3.54231e-05, 3.36232e-05, 3.26298e-05, 3.0277e-05, 3.60746e-05, 3.67864e-05, 2.79451e-05, 3.47552e-05, 3.76823e-05, 3.75421e-05, 3.92186e-05, 3.27117e-05, 4.01383e-05, 4.14944e-05, 3.78017e-05, 3.96495e-05, 3.58228e-05, 3.90768e-05, 8.0132e-05, 5.40729e-05, 7.73129e-05, 4.02815e-05, 4.16081e-05, 0.000109139, 4.37547e-05, 0.000152394, 4.24353e-05, 0.000101209, 5.7053e-05, 0.000148888, 4.43913e-05, 6.60033e-05, 4.82546e-05, 4.84518e-05, 4.69419e-05, 0.000149548, 5.7779e-05, 7.50484e-05, 0.000118415, 5.12315e-05, 6.59712e-05, 5.17113e-05, 0.000125842, 0.00015558, 5.50466e-05, 5.24095e-05, 5.43769e-05, 5.49515e-05, 5.68222e-05, 5.37007e-05, 5.34268e-05, 5.78659e-05, 6.05598e-05, 5.68544e-05, 5.91902e-05, 6.01741e-05, 5.76834e-05, 5.81845e-05, 5.78177e-05, 6.44293e-05, 6.27934e-05, 6.19435e-05, 6.94946e-05, 6.61615e-05, 6.72046e-05, 6.2645e-05, 6.28075e-05, 6.70218e-05, 6.67609e-05, 6.533e-05, 6.86482e-05, 6.89008e-05, 6.86772e-05, 6.91349e-05, 7.20092e-05, 7.31521e-05, 7.71338e-05, 7.26501e-05, 7.46039e-05, 7.43444e-05, 7.41211e-05, 7.6148e-05, 7.58914e-05, 7.72006e-05, 7.69469e-05, 
Search times: 
7.3e-10, 5.3e-10, 5.4e-10, 5.2e-10, 5.9e-10, 5.9e-10, 5.2e-10, 5.7e-10, 7e-10, 5.4e-10, 5.3e-10, 5.9e-10, 6.3e-10, 5.3e-10, 5.4e-10, 5.3e-10, 5.9e-10, 5.4e-10, 5.3e-10, 5.9e-10, 5.9e-10, 6.9e-10, 5.4e-10, 5.3e-10, 5.4e-10, 5.3e-10, 5.8e-10, 5.9e-10, 5.9e-10, 5.4e-10, 5.3e-10, 5.4e-10, 5.3e-10, 5.3e-10, 5.9e-10, 5.3e-10, 5.9e-10, 5.4e-10, 5.7e-10, 5.4e-10, 5.4e-10, 5.8e-10, 5.3e-10, 5.9e-10, 5.9e-10, 5.3e-10, 5.3e-10, 5.3e-10, 5.4e-10, 5.9e-10, 5.3e-10, 5.4e-10, 5.9e-10, 5.3e-10, 5.4e-10, 5.4e-10, 5.9e-10, 5.3e-10, 5.3e-10, 5.9e-10, 5.3e-10, 5.3e-10, 5.9e-10, 5.9e-10, 5.8e-10, 5.9e-10, 5.9e-10, 5.3e-10, 5.3e-10, 5.9e-10, 5.9e-10, 5.8e-10, 5.4e-10, 5.3e-10, 5.4e-10, 6.3e-10, 5.3e-10, 5.9e-10, 5.3e-10, 5.9e-10, 5.3e-10, 5.9e-10, 5.9e-10, 5.4e-10, 6e-10, 5.3e-10, 5.2e-10, 5.4e-10, 5.3e-10, 5.9e-10, 5.8e-10, 5.3e-10, 5.8e-10, 5.3e-10, 5.9e-10, 5.3e-10, 5.3e-10, 5.8e-10, 5.8e-10, 5.4e-10, 5.3e-10, 5.5e-10, 5.3e-10, 7.4e-10, 5.4e-10, 5.3e-10, 5.3e-10, 5.3e-10, 6.8e-10, 5.3e-10, 5.9e-10, 5.4e-10, 5.4e-10, 5.8e-10, 5.9e-10, 5.3e-10, 6.3e-10, 5.3e-10, 6e-10, 6.2e-10, 6e-10, 5.3e-10, 5.4e-10, 5.9e-10, 5.5e-10, 5.9e-10, 5.9e-10, 6e-10, 5.3e-10, 5.3e-10, 5.3e-10, 6e-10, 5.9e-10, 5.5e-10, 5.8e-10, 5.9e-10, 5.6e-10, 5.9e-10, 5.8e-10, 6.4e-10, 5.8e-10, 5.4e-10, 5.3e-10, 5.4e-10, 5.3e-10, 5.4e-10, 5.4e-10, 5.9e-10, 5.3e-10, 5.9e-10, 5.4e-10, 6.1e-10, 5.6e-10, 6e-10, 7.9e-10, 5.3e-10, 5.7e-10, 5.8e-10, 5.8e-10, 5.3e-10, 5.8e-10, 5.3e-10, 5.3e-10, 5.4e-10, 5.3e-10, 5.4e-10, 5.3e-10, 5.8e-10, 6.1e-10, 5.5e-10, 5.9e-10, 5.2e-10, 6.1e-10, 5.4e-10, 5.4e-10, 5.8e-10, 5.4e-10, 5.3e-10, 6.3e-10, 6e-10, 5.3e-10, 6e-10, 5.8e-10, 5.9e-10, 5.9e-10, 8e-10, 5.9e-10, 5.8e-10, 6e-10, 5.6e-10, 6.4e-10, 5.9e-10, 5.4e-10, 5.3e-10, 6.3e-10, 6.2e-10, 5.6e-10, 5.6e-10, 6.1e-10, 5.5e-10, 5.7e-10, 5.6e-10, 6.3e-10, 6.4e-10, 5.7e-10, 6.4e-10, 6.3e-10, 5.5e-10, 6.1e-10, 5.5e-10, 6.2e-10, 6e-10, 5.6e-10, 6.1e-10, 5.6e-10, 6.1e-10, 5.6e-10, 5.5e-10, 5.6e-10, 6.1e-10, 6.1e-10, 5.3e-10, 6.1e-10, 5.5e-10, 6.8e-10, 6.1e-10, 5.6e-10, 5.6e-10, 7e-10, 7.3e-10, 5.5e-10, 6.1e-10, 6.1e-10, 6e-10, 5.6e-10, 6.8e-10, 5.5e-10, 5.5e-10, 5.5e-10, 5.6e-10, 6.1e-10, 6.1e-10, 5.5e-10, 6.1e-10, 3.12e-09, 1.25e-09, 6.1e-10, 5.3e-10, 5.5e-10, 6e-10, 8.1e-10, 5.5e-10, 5.7e-10, 1.43e-09, 1.38e-09, 8.2e-10, 6.9e-10, 6.2e-10, 5.4e-10, 5.5e-10, 6e-10, 6e-10, 5.5e-10, 5.5e-10, 7.1e-10, 6.4e-10, 5.4e-10, 5.5e-10, 7.2e-10, 6e-10, 5.5e-10, 6.3e-10, 6.3e-10, 6.2e-10, 6.2e-10, 5.7e-10, 5.7e-10, 6.3e-10, 5.7e-10, 6.3e-10, 6.3e-10, 5.6e-10, 6.3e-10, 6.4e-10, 5.6e-10, 6.3e-10, 5.5e-10, 5.5e-10, 6.3e-10, 5.8e-10, 6.3e-10, 6.9e-10, 6.6e-10, 6.3e-10, 6.3e-10, 6.3e-10, 1.35e-09, 1.26e-09, 1.29e-09, 6.2e-10, 1.31e-09, 1.32e-09, 1.3e-09, 7.6e-10, 7e-10, 5.7e-10, 7e-10, 5.8e-10, 5.6e-10, 5.7e-10, 7e-10, 6.2e-10, 5.8e-10, 6.4e-10, 5.6e-10, 5.6e-10, 6.3e-10, 6.2e-10, 6.3e-10, 5.8e-10, 5.6e-10, 5.8e-10, 6.1e-10, 6.2e-10, 5.6e-10, 5.7e-10, 1.85e-09, 6.08e-09, 1.31e-09, 7.6e-10, 7.2e-10, 9e-10, 1.51e-09, 1.34e-09, 1.45e-09, 6.2e-10, 1.41e-09, 1.32e-09, 7.6e-10, 1.4e-09, 7.6e-10, 1.31e-09, 1.52e-09, 1.26e-09, 8.7e-10, 1.13e-09, 1.67e-09, 1.57e-09, 1.22e-09, 1.25e-09, 8.6e-10, 1.65e-09, 1.28e-09, 5.8e-10, 8.4e-10, 7.1e-10, 1.7e-09, 1.36e-09, 1.27e-09, 1.65e-09, 7.5e-10, 5.7e-10, 8.4e-10, 6.7e-10, 6.5e-10, 6.4e-10, 5.9e-10, 5.8e-10, 5.7e-10, 7.5e-10, 7.7e-10, 7.2e-10, 5.8e-10, 1.32e-09, 7.3e-10, 6.5e-10, 1.25e-09, 7.5e-10, 7.5e-10, 5.6e-10, 7.2e-10, 6.3e-10, 6.3e-10, 7.4e-10, 7.2e-10, 6.3e-10, 6.4e-10, 5.8e-10, 2.3e-09, 7.5e-10, 1.31e-09, 6.2e-10, 5.7e-10, 5.8e-10, 6.3e-10, 6.2e-10, 5.7e-10, 6.3e-10, 6.3e-10, 
